Toy & Hobby Goods & Supplies,423920,1207443260,0.039950697144973915
Fruits & Vegetables,3114,1708677724,0.045699782295517306
Dairy Products,3115,757259295,0.06938521632804784
Travel Services,5615,5209775566,0.08229984086036155
Seafood Products,3117,744983119,0.08352726177678664
Food Products,311,5900233111,0.14641565574577517
Meat Products,3116,658841623,0.14962715857434528
Sporting And Athletic Goods,33992,127224654,0.15608924352036357
Other Electric Equipment,3353 3359,1184557218,0.15865666693358496
Electrical Equipment & Appliances,335,1231519193,0.1600682320831682
Lighting Equipment,3351,37016799,0.16583011405173095
Hobby & Toy Retailers,45912,506486796,0.16673662702946357
Semiconductors,3344,806034534,0.1770260379439276
Apparel,4243,824333705,0.1883083259345801
Milling Of Grains,3112,245615556,0.19874514788468853
Audio & Video Equipment,3343,37262213,0.20501197822040254
Pulp & Paper Mills,3221,854418264,0.2144606543663491
Industrial Machinery,3332,404047008,0.2195237144287924
Sawmills,3211,914998896,0.21968168582358594
Plywood & Trusses,3212,326376968,0.22919693279337042
Drugs & Sundries,4242,4201416705,0.23020237408229186
Fishing & Hunting,114,62191735,0.2335053042015953
Leather & Allied Products,316,40546536,0.241917090032056
Lumber & Wood Products,321,2421358103,0.24669886674750977
Paper Products,322,1686283016,0.25184319356271095
Aircraft Aerospace & Parts,3364,15263108541,0.25496264994424506
Bakery Products,3118,637816034,0.2594705858398035
Transportation Equipment,336,16364731928,0.26170359641958446
Foundries,3315,195168052,0.26325978803129113
Machinery,333,1678863702,0.26942943579108963
Millwork Windows Wood Products,3219,1179982239,0.272489864146167
Farm & Construction Implements,3331,166185408,0.2725672521139762
Farm Supplies,42491,1109619254,0.2758719253442226
Textiles,313 314,187529442,0.27695064543518455
Food Products,4244,10812612673,0.27909864999933487
Asphalt/petroleum/coal Products,32412 32419,304431859,0.28088847297680497
Commercial & Other Equipment 3333-3336 &,3339,1108631286,0.28714749801856126
Other Paper Products,3222,831864752,0.29023924793005296
Farm Products,4245,457155390,0.2971759777348354
Iron & Steel Mills,3311 3312,362348058,0.30045089961541893
Soap Cleaning Compound & Toiletries,3256,56820475,0.30421604184055134
Instruments,3345,2203465165,0.3045393277183939
Resins Synthetic Fibers & Filaments,3252,225375857,0.3057692199923615
Apparel,315,50914721,0.3062748787330093
Primary Metals,331,717794646,0.3063476458418722
Household Appliances,3352,9945176,0.3067517357158888
All Other Miscellaneous Mfg Not Listed Above,3399,1195244002,0.3069634312207994
Other Manufacturing,339,1609029690,0.30812166057669205
Beverages,312,612598988,0.31090534547210186
Other Food Items,3111 3113 3119,1147039760,0.31223093783601713
Plastics & Rubber Products,326,765722637,0.31501393369411385
Motor Vehicles & Parts,3361 3362 3363,662614605,0.31566237511471695
Aluminum Smelting,3313,113587628,0.3159410987964288
Paint Coating & Adhesives,3255,22393545,0.3165197828213443
Scientific Research & Development Services,5417,2214535508,0.3189875698303773
Nondurable Goods:,424,26728971126,0.3194296914666808
Warehouse Clubs And Superstores,455211,9853769275,0.3198226802402982
Crop & Animal Production,111 112,611067441,0.3201065657824829
Other Misc Durable Goods,423930 423940 423990,1863761009,0.32193462418335206
General Merchandise Retailers,4552,10419194474,0.32541071274374217
Fabricated Metal Products,332,2048501218,0.32548167125375854
Pharmaceuticals,3254,583331708,0.3312549229708596
Chemicals,325,1499269454,0.33347808071863777
Lumber & Construction Materials,4233,2600633724,0.3383317273324723
Alternative Power Generation 221114-221117,,20726138,0.3417037945033465
Chemicals Pesticides & Fertilizers,3251 3253,508044181,0.34252080135526636
Metal & Mineral (except Petroleum),4235,1004459922,0.3499098294536036
Other Medical Equip & Supplies,339112 339115,235691610,0.351274277433974
Chemicals & Plastics,4246,898570167,0.3527805747862092
Furniture & Related Products,337,410108661,0.35490106364761703
Forestry & Logging,113,302065536,0.35706655392821773
Computers & Electronics,334,3778880933,0.3638405719516752
Sporting & Recreational Goods & Supplies,423910,397890320,0.3707916292107835
Nonmetallic Minerals,327,704730483,0.37296272311240436
Natural Gas Distribution,2212,1433440883,0.3732931761232598
Other Chemical Products,3259,103303688,0.38178307825757396
Other Misc Nondurable Goods Not Listed Above,4249,1661508918,0.3829046555860857
Jewelry & Luggage Retailers,4583,235374733,0.38499586954390724
Durable Goods,423,24760357144,0.38751542411919904
Hardware Plumbing Heating Equipment,4237,1635115152,0.3877707323698019
Machinery & Equipment,4238,3813825556,0.3892667029996691
